doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
,hal-01879790,in,,Heuristique et potentialités du sensible,COUV,file,True,2021-06-01 11:37:16,,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,2.0,
,hal-01879792,in,,Imprégnations de Tokyo,COUV,file,True,2021-06-01 11:43:57,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-01879793,in,,Prises et emprises de la ville sonore,COUV,notice,False,2018-09-24 12:04:55,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-01879795,in,,Installing an Atmosphere,COUV,notice,False,2018-09-24 12:04:56,,False,['0.shs'],2014,2014.0,,False,,,,,,,,,,,1.0,
,hal-01879803,in,,Prologue,COUV,notice,False,2018-09-24 12:15:05,,False,['0.shs'],2004,2004.0,,False,,,,,,,,,,,2.0,
,hal-01879811,in,,Visions pratiques en milieu urbain,COUV,notice,False,2018-09-24 12:15:11,,False,['0.shs'],2002,2002.0,,False,,,,,,,,,,,1.0,
,hal-01906640,in,,"Déplacement des mégalithes extraordinaires sur le littoral morbihanais, modèles d'embarcations et questions relatives à la navigation atlantique dès le V ème millénaire AVJC",COUV,file,True,2019-07-17 15:25:40,,True,['0.shs'],2016-11-15,2016.0,,False,,,,,,,,,,,7.0,
,hal-01913383,in,,SHS Web of Conferences - Proceedings SCAN’18 – 8e Séminaire de Conception Architecturale Numérique,DOUV,notice,False,2018-11-06 11:38:56,,True,"['0.info', '0.shs', '0.sde']",2018-10-23,2018.0,SHS Web of Conferences,2261-2424,EDP Sciences,,,,,,,,,,2.0,
,hal-01931440,in,,"Architecture Pratiques plurielles de la recherche. [coord. du dossier Représentations, N°138 Culture et Recherche]",DOUV,file,True,2018-11-22 17:51:26,http://creativecommons.org/licenses/by-nc-nd/,True,"['0.shs', '0.sde']",2018-11,2018.0,Culture et recherche,"0765-5991,1950-629",Paris : Ministère de la Culture et de la Communication,,,,,,,,,,2.0,
,hal-01935153,in,,Les compositions gravées en Beauce et Gâtinais,COUV,notice,False,2018-11-26 14:56:56,,False,['0.shs'],2017,2017.0,,False,,,,,,,,,,,4.0,
,hal-01961113,in,,Penser depuis la frontière. Introduction,COUV,notice,False,2018-12-19 17:03:15,,True,['0.shs'],2018,2018.0,,False,,,,,,,,,,,3.0,
,hal-01963014,in,,Réalité virtuelle et réalité augmentée : mythes et réalités,DOUV,notice,False,2018-12-21 09:27:08,,True,['0.info'],2018-09-01,2018.0,,False,,,,,,,,,,,3.0,
,hal-01967270,in,,L'usage des ambiances. Une épreuve sensible des situations,DOUV,notice,False,2018-12-30 20:51:25,,True,"['0.shs', '0.sde']",2021,2021.0,,False,,,,,,,,,,,4.0,
,hal-01972376,in,,La maîtrise de l'énergie dans les pratiques d'auto-réhabilitation en milieu rural,COUV,notice,False,2019-01-07 16:27:15,,True,['0.shs'],2018,2018.0,,False,,,,,,,,,,,4.0,
,hal-02016753,in,,Architecture et Numérique : l’usage contemporain des technologies de liaisons,DOUV,notice,False,2019-02-12 21:20:04,,True,['0.shs'],2014,2014.0,,False,,,,,,,,,,,3.0,
,hal-02068666,in,,Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:45:05,,True,"['0.info', '0.shs']",2013,2013.0,,False,,,,,,,,,,,2.0,
,hal-02068673,in,,UDMV14: Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:49:20,,True,"['0.info', '0.shs']",2014,2014.0,,False,,,,,,,,,,,2.0,
,hal-02068684,in,,UDMV15: Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:54:48,,True,"['0.info', '0.shs']",2015,2015.0,,False,,,,,,,,,,,2.0,
,hal-02068689,in,,UDMV16: Eurographics Workshop on Urban Data Modelling and Visualisation,DOUV,notice,False,2019-03-15 10:56:47,,True,"['0.info', '0.shs']",2016,2016.0,,False,,,,,,,,,,,2.0,
,hal-02104061,in,,Les facteurs sensoriels du sentiment d'insécurité,COUV,notice,False,2019-04-19 11:25:28,,False,['0.shs'],1992,1992.0,,False,,,,,,,,,,,4.0,
,hal-02104065,in,,Vers une esthétique des ambiances,COUV,file,True,2019-06-11 17:03:13,,False,['0.shs'],2004,2004.0,,False,,,,,,,,,,,1.0,
,hal-02104066,in,,La ville sonnante,COUV,file,True,2019-06-12 10:28:11,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-02105506,in,,The fabulous history of immersive devices,COUV,file,True,2019-05-19 11:59:18,http://creativecommons.org/licenses/by-nd/,True,['0.shs'],2019-03-15,2019.0,,False,,,,,,,,,,,1.0,
,hal-02135582,in,,"Noir-Neonoir-Postnoir. [coord. du dossier, N°36 Revue La Furia Umana]",DOUV,notice,False,2019-05-21 14:09:45,,False,['0.shs'],2019-04,2019.0,La Furia Umana,2255-2812,Duen de Bux,,,,,,,,,,3.0,
,hal-02164544,in,,Canopea ® prototype expérimental d'habitat solaire,COUV,file,True,2019-06-25 10:54:17,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-02164588,in,,The Soundscape of a City in the Nineteenth Century,COUV,file,True,2019-07-11 17:57:45,,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,1.0,
,hal-02172195,in,,Measuring distance in the monumentalities of the Neolithic in Western France,COUV,notice,False,2019-07-03 15:34:17,,False,['0.shs'],2019,2019.0,,False,,,,,,,,,,,7.0,
,hal-02444013,in,,"Construire ! Entre Antiquité et Époque contemporaine, actes du 3e Congrès francophone d’histoire de la construction",DOUV,notice,False,2020-01-17 15:23:21,,False,['0.shs'],2019,2019.0,,False,,,,,,,,,,,3.0,
,hal-02447202,in,,Séminaire Vidéo & Ambiance : Approches vidéographiques dans la recherche urbaine à travers le rythme,DOUV,notice,False,2020-01-21 14:37:41,http://creativecommons.org/licenses/by/,True,['0.shs'],2011,2011.0,,False,,,,,,,,,,,2.0,
,hal-02462082,in,,On the importance of habituation in the spatial mediality of smells,COUV,notice,False,2020-01-31 09:55:49,,False,['0.shs'],2021,2021.0,,False,,,,,,,,,,,1.0,
,hal-02462094,in,,Puissance émotionnelle de l’odeur dans les lieux,COUV,notice,False,2020-01-31 10:00:42,,False,['0.shs'],2021,2021.0,,False,,,,,,,,,,,1.0,
,hal-02462134,in,,Art pieces in olfactory effects,COUV,notice,False,2020-01-31 10:18:30,,False,['0.shs'],2021,2021.0,,False,,,,,,,,,,,1.0,
,hal-02472437,in,,Atmospheres and Mobilities,DOUV,notice,False,2020-02-10 11:28:36,http://creativecommons.org/licenses/by/,False,['0.shs'],2017,2017.0,Mobile Culture Studies - The Journal,2413-9181,"University of Graz, Austria",,,,,,,,,,3.0,
,hal-02475580,in,,Barcelona en Comù: Questions Facing a New Brand of Political Action,COUV,file,True,2020-02-12 10:32:17,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2019-02-06,2019.0,,False,,,,,,,,,,,2.0,
,hal-02975677,in,,"ARCHITECTURE 68. Panorama international sur des renouveaux pédagogiques, Genève, MétisPresses",DOUV,notice,False,2020-10-22 21:25:28,,True,['0.shs'],2020,2020.0,,False,,,,,,,,,,,4.0,
,hal-03118451,in,,Immersions quotidiennes de Brest à Québec,COUV,notice,False,2021-01-22 11:31:11,,True,['0.shs'],2021-01-05,2021.0,,False,,,,,,,,,,,1.0,
,hal-03136469,in,,"Ambiances, Alloæsthesia: Senses, Inventions, Worlds",DOUV,file,True,2021-02-23 08:35:12,,False,['0.shs'],2020,2020.0,,False,,,,,,,,,,,1.0,
,hal-03169583,in,,"Track the cities. [issue editor, N°40 La Furia Umana Journal]",DOUV,notice,False,2021-03-15 14:31:11,,False,['0.shs'],2021-03,2021.0,La Furia Umana,2255-2812,Duen de Bux,,,,,,,,,,3.0,
,hal-03197710,in,,Des circulations automobiles pérennes dans les métropoles intermédiaires ? Nécessité et désir d'automobile dans le pays de Brest,COUV,notice,False,2021-04-14 10:10:00,,True,['0.shs'],2021-04,2021.0,,False,,,,,,,,,,,2.0,
,hal-03205491,in,,Institution universitaire et mouvements étudiants ? Entre intégration et rupture,DOUV,notice,False,2021-04-22 12:45:38,,False,['0.shs'],2020-06,2020.0,,False,,,,,,,,,,,2.0,
,hal-03244547,in,,Listening to atmospheres,COUV,file,True,2021-06-01 11:58:48,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,1.0,
,hal-03248174,in,,Un soulèvement. Occupation critique de l’espace et architecture de champs sensoriels,COUV,notice,False,2021-06-03 14:20:13,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,1.0,
,hal-03248205,in,,Déploiement du champ sensoriel d’une source sacrée et réappropriation ludique d’une architecture,COUV,notice,False,2021-06-03 14:41:45,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,5.0,
,hal-03248212,in,,Renaissance sensible d’une place publique saharienne. Aire d’expérience ludique et vie imaginaire,COUV,notice,False,2021-06-03 14:45:00,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,3.0,
,hal-03248218,in,,Terre chaude – Terre de Saint,COUV,notice,False,2021-06-03 14:48:18,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,2.0,
,hal-03248300,in,,La Ciudad y los niños. Juego y creatividad arquitectónica trente a la emergencia de la ciudad garantizada,COUV,notice,False,2021-06-03 15:03:10,,True,['0.shs'],2017,2017.0,,False,,,,,,,,,,,1.0,
,hal-03250069,in,,Résonances oasiennes. Approches sensibles de l’urbain au Sahara,DOUV,notice,False,2021-06-04 14:48:16,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,3.0,
,hal-03250077,in,,"Challenges of Communication in a Context of Crisis. Troubles, Misunderstandings and Discords",DOUV,notice,False,2021-06-04 14:50:29,,True,['0.shs'],2018,2018.0,,False,,,,,,,,,,,4.0,
,hal-03250081,in,,"Sociologies, Dossier thématique Sociologie des métropoles sud-américaine",DOUV,notice,False,2021-06-04 14:53:04,,True,['0.shs'],2017,2017.0,,False,,,,,,,,,,,3.0,
,hal-03250092,in,,La participation sociale et politique au quotidien,DOUV,notice,False,2021-06-04 14:55:57,,True,['0.shs'],2014,2014.0,Lien social et Politiques,1204-3206,"Anjou, Québec : Éd. Saint-Martin ; Rennes : Presses de l'EHESP",,,,,,,,,,2.0,
,hal-03254766,in,,De l’incertitude des savoirs aux nouvelles fabriques de l’expertise,DOUV,notice,False,2021-06-09 10:28:50,,False,['0.shs'],2021,2021.0,Cahiers RAMAU,1623-1333,Éditions de la Villette,,,,,,,,,,3.0,
,hal-03273519,in,,Chronique d’une vie dans une cité des années 1930,COUV,notice,False,2021-06-29 11:47:14,,True,['0.shs'],2021-06-16,2021.0,,False,,,,,,,,,,,1.0,
,hal-03290511,in,,Écologie sociale de l'oreille. Enquêtes d'expérience musicale,DOUV,notice,False,2021-07-27 08:47:35,,True,['0.shs'],2009,2009.0,,False,,,,,,,,,,,2.0,
,hal-03329519,in,,"Pourquoi James Bond a-t-il un bouton ""Atmosphere"" dans son Aston Martin ? Petite réflexion sur des modes d'existence de l'ambiance",COUV,file,True,2021-08-31 09:31:32,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,1.0,
,hal-03334500,in,,La ville mot à mot,DOUV,notice,False,2021-09-03 20:22:05,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,18.0,
,hal-03358540,in,,Smell walks,COUV,notice,False,2021-09-29 14:20:17,,True,"['0.shs', '0.sde', '0.scco', '0.spi']",2021,2021.0,,False,,,,,,,,,,,1.0,
,hal-03400569,in,,"Ecopolis, Rottier solaire",COUV,notice,False,2021-10-25 09:45:43,,True,['0.shs'],2021-10,2021.0,,False,,,,,,,,,,,1.0,
,hal-03400582,in,,"Ecopolis: Rottier, sunny side up",COUV,notice,False,2021-10-25 09:48:30,,True,['0.shs'],2021-12,2021.0,,False,,,,,,,,,,,1.0,
,halshs-00354155,in,,La ville à l'épreuve du mouvement,COUV,file,True,2009-01-19 10:28:42,,True,['0.shs'],2008,2008.0,,False,,,,,,,,,,,1.0,
,halshs-00379493,in,,Composer l'espace,COUV,file,True,2009-04-28 17:08:14,,False,['0.shs'],1994-01-01,1994.0,,False,,,,,,,,,,,1.0,
,halshs-00380037,in,,Quel rôle les mesures physiques peuvent-elles jouer dans la compréhension des ambiances architecturales et urbaines ?,COUV,file,True,2009-04-29 16:50:58,,False,"['0.shs', '0.spi', '0.phys']",2004-01-01,2004.0,,False,,,,,,,,,,,1.0,
,halshs-00390170,in,,De l'ambiance héritée à l'ambiance programmée Les leçons d'une expérience,COUV,file,True,2009-06-01 10:32:03,,True,['0.shs'],2009-01-01,2009.0,,False,,,,,,,,,,,1.0,
,halshs-00395082,in,,Hem. Les Hauts-Champs. La fabrique d'un quartier,DOUV,file,True,2017-05-05 09:15:08,,True,['0.shs'],2009-05,2009.0,,False,,,,,,,,,,,3.0,
,halshs-00504988,in,,L'intimité au sein des espaces extérieurs de l'habitat individuel dense,COUV,file,True,2010-07-22 10:35:59,,True,['0.shs'],2010,2010.0,,False,,,,,,,,,,,2.0,
,halshs-00567901,in,,Le plafond lumineux d'Augustin Rey,COUV,notice,False,2011-02-22 10:35:28,,True,"['0.shs', '0.spi']",2010,2010.0,,False,,,,,,,,,,,2.0,
,halshs-00567910,in,,Qualité des ambiances et processus de conception,COUV,file,True,2012-11-21 10:25:02,,True,['0.shs'],2009,2009.0,,False,,,,,,,,,,,2.0,
,halshs-00572413,in,,Les petites annonces de la maison individuelle,COUV,file,True,2012-11-21 10:12:43,,True,['0.shs'],2008,2008.0,,False,,,,,,,,,,,2.0,
,halshs-00576022,in,,Sympathique maison ensoleillée de 4 chambres ...,COUV,file,True,2011-03-11 16:53:46,,True,['0.shs'],2004,2004.0,,False,,,,,,,,,,,2.0,
,halshs-00596761,in,,"Marcher en ville. Faire corps, prendre corps, donner corps aux ambiances urbaines",DOUV,notice,False,2011-05-30 10:08:03,,True,['0.shs'],2010,2010.0,,False,,,,,,,,,,,1.0,
,halshs-00596763,in,,Architectural and urban atmospheres: shaping the way we walk in town,COUV,file,True,2011-05-30 13:48:10,,True,['0.shs'],2010,2010.0,,False,,,,,,,,,,,1.0,
,halshs-00596826,in,,Le piéton dans l'espace public,COUV,file,True,2011-06-06 10:31:08,,True,['0.shs'],2004,2004.0,,False,,,,,,,,,,,1.0,
,halshs-00605300,in,,Le mouvement : un révélateur des potentialités esthétiques de l'architecture ordinaire ?,COUV,file,True,2013-12-14 16:39:18,,True,['0.shs'],2011,2011.0,,False,,,,,,,,,,,1.0,
,halshs-00715905,in,,Sociologie de la mobilisation et de l'action patrimoniales : agir pour / sur le Château de Lunéville,COUV,file,True,2012-07-09 15:26:36,,True,['0.shs'],2011,2011.0,,False,,,,,,,,,,,1.0,
,halshs-00715945,in,,"John Langshaw Austin, la perception et son ethnographie",COUV,file,True,2012-07-09 16:43:32,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,halshs-00746478,in,,Ambiances in action - ambiances en acte(s),DOUV,notice,False,2012-10-29 10:39:19,,True,['0.shs'],2012-09,2012.0,,False,,,,,,,,,,,2.0,
,halshs-00869848,in,,Décrire l'arrière-plan corporel de l'expérience urbaine,COUV,file,True,2013-10-07 09:39:28,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,halshs-00980639,in,,Montre moi ton jardin et je te dirai comment tu habites,COUV,file,True,2014-04-18 14:49:52,,True,['0.shs'],2012,2012.0,,False,,,,,,,,,,,1.0,
,halshs-01128922,in,,Concepteurs sonores et concepteurs lumière : deux groupes professionnels émergents,COUV,notice,False,2015-03-10 15:43:57,,True,['0.shs'],2009,2009.0,,False,,,,,,,,,,,2.0,
,halshs-01229581,in,,"Formes, formants, formalités : catégories d'analyse de l'environnement urbain",COUV,file,True,2016-03-31 11:30:42,,True,['0.shs'],2001,2001.0,,False,,,,,,,,,,,1.0,
,halshs-01246925,in,,Les sensations du soleil dans les théories architecturales et urbaines. De l'hygiénisme à la ville durable,COUV,file,True,2015-12-23 16:30:25,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,halshs-01249639,in,,Le Corbusier Plans. 1950 - Studies in Sunlight - Tower of Shadows (Chandigarh). English version,COUV,file,True,2016-01-02 12:28:09,,True,['0.shs'],2006-02,2006.0,,False,,,,,,,,,,,1.0,
,halshs-01249642,in,,Le Corbusier Plans. 1950 - Etudes d’ensoleillement - Tour d’ombres (Chandigarh). Version française,COUV,file,True,2016-01-02 12:35:55,,True,['0.shs'],2006-02,2006.0,,False,,,,,,,,,,,1.0,
,halshs-01249644,in,,Le Corbusier Plans. 1950 - Climate Chart (Chandigarh). English version,COUV,file,True,2016-01-02 12:44:55,,True,['0.shs'],2006-02,2006.0,,False,,,,,,,,,,,1.0,
,halshs-01249645,in,,Le Corbusier Plans. 1950 - Grille climatique (Chandigarh). Version française,COUV,file,True,2016-01-02 12:48:20,,True,['0.shs'],2006-02,2006.0,,False,,,,,,,,,,,1.0,
,halshs-01249648,in,,Le Corbusier Plans. 1940 - Studies in Sunlight (no place). English version,COUV,file,True,2016-01-02 12:57:20,,True,['0.shs'],2006-02,2006.0,,False,,,,,,,,,,,1.0,
,halshs-01249649,in,,Le Corbusier Plans. 1940 - Etudes d’Ensoleillement (sans lieu). Version française,COUV,file,True,2016-01-02 13:01:10,,True,['0.shs'],2006-02,2006.0,,False,,,,,,,,,,,1.0,
,halshs-01295498,in,,L'espace sonore en action,COUV,notice,False,2016-03-31 11:01:08,,True,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,halshs-01295544,in,,Ambiances en débats,DOUV,notice,False,2016-03-31 11:37:56,,True,['0.shs'],2004,2004.0,,False,,,,,,,,,,,3.0,
,halshs-01501479,in,,L'accompagnement des auto-réhabilitateurs par les magasins de bricolage : vision prospective pour l'amélioration énergétique de l'habitat,COUV,file,True,2017-04-04 12:12:41,,True,['0.shs'],2015,2015.0,,False,,,,,,,,,,,4.0,
,halshs-01566962,in,,Le management urbain des petites opérations complexes,COUV,file,True,2017-07-21 14:44:26,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],1999,1999.0,,False,,,,,,,,,,,1.0,
,halshs-01704465,in,,Pasajes de la vida,COUV,file,True,2018-02-08 14:52:14,,False,['0.shs'],2017-10,2017.0,,False,,,,,,,,,,,2.0,
,halshs-02002470,in,,"Animer l’espace public ? Entre programmation urbaine et activation citoyenne [coord. dossier thématique N° 3 de Ambiances. Revue internationale sur l'environnement sensible, l'architecture et l'espace urbain]",DOUV,notice,False,2019-01-31 16:48:41,,True,['0.shs'],2017,2017.0,"Ambiances. Environnement sensible, architecture et espace urbain",2266-839X,UMR 1563 - Ambiances Architecturales et Urbaines,,,,,,,,,,2.0,
,halshs-02181915,in,,The Atmospherization of Everyday Experience,COUV,notice,False,2019-07-12 14:43:41,,False,['0.shs'],2019,2019.0,,False,,,,,,,,,,,1.0,
,halshs-02181923,in,,Die Atmosphärisierung der Alltagserfahrung,COUV,notice,False,2019-07-12 14:45:15,,False,['0.shs'],2019,2019.0,,False,,,,,,,,,,,1.0,
,halshs-02181937,in,,Silence of Mauá: an atmospheric ethnography of urban sounds,COUV,notice,False,2019-07-12 14:52:03,,False,['0.shs'],2019,2019.0,,False,,,,,,,,,,,1.0,
,halshs-02181950,in,,A World of Attunements,COUV,notice,False,2019-07-12 14:54:15,,False,['0.shs'],2019,2019.0,,False,,,,,,,,,,,1.0,
,halshs-02186843,in,,"Urbanisme sur mesure, urbanisme en mesure",COUV,file,True,2019-07-18 17:58:44,,True,['0.shs'],2018-03-01,2018.0,,False,,,,,,,,,,,1.0,
,halshs-02193877,in,,"La ""clusterisation"" du projet urbain de l'ile de Nantes",COUV,file,True,2019-11-12 17:27:37,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2015-10-01,2015.0,,False,,,,,,,,,,,2.0,
,halshs-02530943,in,,"Forms of Experienced Environments: Questioning Relations Between Humans, Aesthetics, and Sciences",DOUV,notice,False,2020-04-03 12:09:16,,False,['0.shs'],2020-04,2020.0,,False,,,,,,,,,,,3.0,
,halshs-03066959,in,,As Far As The Ear Can Hear. Listening to the social city,COUV,notice,False,2020-12-15 14:59:39,,True,['0.shs'],2021-01-15,2021.0,,False,,,,,,,,,,,1.0,
,halshs-03083995,in,,L’usage des ambiances. Introduction,COUV,notice,False,2020-12-20 10:51:14,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,3.0,
,halshs-03083997,in,,Dans l’ambiance d’une bergerie urbaine,COUV,notice,False,2020-12-20 10:55:23,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,4.0,
,halshs-03083998,in,,Nefta : une corbeille de sons,COUV,notice,False,2020-12-20 10:58:19,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,3.0,
,halshs-03083999,in,,Subtile porosité,COUV,notice,False,2020-12-20 11:01:14,,True,['0.shs'],2021,2021.0,,False,,,,,,,,,,,3.0,
,halshs-03137452,in,,"Maracanã, a potência de uma ambiência",COUV,notice,False,2021-02-10 14:23:12,,True,['0.shs'],2020,2020.0,,False,,,,,,,,,,,1.0,
,halshs-03204205,in,,"Archives, acteurs et institutions : actes des journées d'étude des 15 et 16 octobre 2015",DOUV,notice,False,2021-04-21 13:34:06,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2017,2017.0,,False,,,,,,,,,,,2.0,
